Unnamed: 0,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country Code
309,san lorenzo,-25.3333,-57.5333,299.15,83.0,0.0,1.03,PY
310,arman,59.7,150.1667,251.84,81.0,100.0,3.11,RU
311,wamba,8.9333,8.6,310.28,19.0,2.0,2.53,NG
312,trinidad,-14.8333,-64.9,298.15,88.0,75.0,2.06,BO
313,puerto suarez,-18.95,-57.8,299.15,94.0,75.0,1.18,BO
314,qaanaaq,77.484,-69.3632,253.83,88.0,99.0,0.99,GL
315,nykoping,58.753,17.0079,271.15,69.0,0.0,2.57,SE
316,krasnoarmeysk,51.0239,45.6969,257.92,92.0,56.0,5.2,RU
317,severnoye,56.3491,78.3619,269.08,97.0,97.0,5.13,RU
318,tamworth,52.63399999999999,-1.6959,283.15,94.0,50.0,3.13,GB
319,matagalpa,12.9256,-85.9175,289.82,93.0,29.0,1.26,NI
320,buzmeyin,38.0507,58.2056,292.15,37.0,26.0,4.12,TM
321,mbini,1.574,9.6134,302.81,70.0,92.0,3.25,GQ
322,aswan,24.0934,32.907,303.36,14.0,0.0,2.78,EG
323,beloha,-25.1667,45.05,306.22,39.0,87.0,3.79,MG
324,linares,-35.85,-71.6,289.57,66.0,0.0,1.42,CL
325,grindavik,63.8424,-22.4338,278.15,93.0,75.0,10.29,IS
326,okhotsk,59.3833,143.3,257.08,86.0,100.0,1.68,RU
327,hinton,53.4001,-117.5857,255.15,85.0,100.0,1.03,CA
328,port hedland,-20.3167,118.5667,302.15,74.0,29.0,4.63,AU
329,bathsheba,13.2167,-59.5167,299.15,61.0,40.0,9.26,BB
330,sorong,-0.8833,131.25,300.02,78.0,100.0,4.74,ID
331,esperance,-33.8667,121.9,299.15,41.0,8.0,6.17,AU
332,fontem,5.4685,9.8818,306.03,28.0,87.0,2.52,CM
333,mocambique,,,,,,,
334,mergui,,,,,,,
335,manokwari,-0.8667,134.0833,299.95,81.0,69.0,5.95,ID
336,marzuq,14.4,46.4667,301.53,15.0,2.0,2.62,YE
337,suhbaatar,50.2314,106.2078,252.31,84.0,50.0,1.32,MN
338,ascension,30.2169,-90.9001,274.15,100.0,90.0,4.41,US
339,albenga,44.0529,8.216000000000001,283.15,40.0,40.0,4.63,IT
340,kuruman,-27.4524,23.4325,300.37,46.0,0.0,2.68,ZA
341,york,40.1254,-77.0,274.15,60.0,90.0,2.06,US
342,ketchikan,55.3422,-131.6461,274.15,100.0,90.0,1.54,US
343,tsumeb,-19.2333,17.7167,297.68,62.0,77.0,3.01,
344,bousso,10.4795,16.7117,312.58,8.0,22.0,3.9,TD
345,lewistown,40.5992,-77.5714,271.15,93.0,90.0,1.56,US
346,atoyac,20.0167,-103.5333,277.15,87.0,1.0,1.54,MX
347,bud,39.446999999999996,-86.1758,262.59,89.0,100.0,5.39,US
348,tekirdag,40.978,27.5085,274.15,69.0,75.0,9.77,TR
349,khani,41.9563,42.9566,282.15,87.0,90.0,4.63,GE
350,greencastle,39.6445,-86.8647,262.59,85.0,90.0,5.14,US
351,idrinskoye,54.3708,92.1358,265.91,96.0,100.0,0.93,RU
352,tangzhai,34.4328,116.5911,280.93,61.0,100.0,2.53,CN
353,buraydah,26.326,43.975,303.15,21.0,75.0,4.12,SA
354,marcona,,,,,,,
355,alugan,12.2188,125.4808,299.19,81.0,90.0,6.73,PH
356,caravelas,-17.7125,-39.2481,301.25,66.0,81.0,3.17,BR
357,magadan,59.5667,150.8,252.57,80.0,98.0,2.91,RU
358,mana,5.6592,-53.7767,299.13,75.0,97.0,6.74,GF
359,obernai,48.4631,7.481,275.37,64.0,0.0,3.09,FR
360,algiers,36.7525,3.042,288.15,51.0,20.0,3.09,DZ
361,shingu,33.7333,135.9833,285.08,62.0,1.0,8.91,JP
362,naurskaya,43.6519,45.3133,272.15,100.0,90.0,6.0,RU
363,amur,54.0,128.0,248.12,90.0,100.0,2.0,RU
364,wahiawa,21.5028,-158.0236,294.82,100.0,20.0,0.97,US
365,belushya guba,,,,,,,
366,banes,20.9625,-75.7186,295.15,56.0,20.0,3.09,CU
367,chara,56.9064,118.2631,246.21,79.0,100.0,1.18,RU
368,peniche,39.3558,-9.3811,290.37,63.0,95.0,5.36,PT
369,koshurnikovo,54.1667,93.3,266.58,99.0,100.0,1.17,RU
370,cedar city,37.6775,-113.0619,269.15,74.0,90.0,1.54,US
371,grand river south east,,,,,,,
372,college,64.8569,-147.8028,242.15,69.0,1.0,0.71,US
373,mackay,-21.15,149.2,299.15,83.0,90.0,5.66,AU
374,mareeba,-17.0,145.4333,299.26,94.0,75.0,2.17,AU
375,beringovskiy,63.05,179.3167,252.66,88.0,92.0,7.9,RU
376,susehri,40.1644,38.0867,283.43,50.0,38.0,4.06,TR
377,nanortalik,60.1432,-45.2371,266.83,88.0,0.0,7.37,GL
378,thinadhoo,0.5333,72.9333,301.33,75.0,33.0,3.99,MV
379,sistranda,63.7256,8.834,272.15,64.0,0.0,6.69,NO
380,cabo rojo,18.0866,-67.1457,299.26,77.0,0.0,0.45,PR
381,mtwara,-10.2667,40.1833,302.15,84.0,75.0,9.77,TZ
382,kudahuvadhoo,2.6708,72.8944,300.77,77.0,94.0,6.07,MV
383,puri,19.8,85.85,304.15,35.0,0.0,5.75,IN
384,manggar,-2.8833,108.2667,299.38,78.0,85.0,5.32,ID
385,lodja,-3.4833,23.4333,311.31,33.0,49.0,0.51,CD
386,srednekolymsk,67.45,153.6833,244.62,86.0,92.0,1.57,RU
387,walvis bay,-22.9575,14.5053,295.58,61.0,46.0,5.74,
388,san antero,9.3741,-75.7589,298.91,86.0,81.0,1.81,CO
389,darnah,32.766999999999996,22.6367,284.41,61.0,62.0,9.75,LY
390,mendi,-6.1761,143.6513,286.71,98.0,100.0,1.42,PG
391,ponta delgada,37.7333,-25.6667,287.59,54.0,20.0,8.75,PT
392,vaitupu,,,,,,,
393,samusu,,,,,,,
394,mandal,25.45,74.5667,301.56,15.0,64.0,3.25,IN
395,vicuna,-30.0319,-70.7081,289.15,82.0,90.0,2.06,CL
396,rio gallegos,-51.6226,-69.2181,284.15,54.0,0.0,1.54,AR
397,aracati,-4.5617,-37.7697,303.89,54.0,33.0,4.58,BR
398,campos,-21.75,-41.3,299.15,83.0,0.0,2.06,BR
399,sur,22.5667,59.5289,297.82,51.0,0.0,2.67,OM
400,san quintin,30.4833,-115.95,284.81,80.0,53.0,0.49,MX
401,valdivia,-39.8142,-73.2459,285.15,71.0,0.0,0.51,CL
402,shirvan,39.9509,48.8994,282.51,69.0,99.0,3.38,AZ
403,kenai,60.5544,-151.2583,267.59,62.0,75.0,3.09,US
404,novikovo,51.1537,37.8879,261.38,91.0,3.0,2.27,RU
405,mehamn,71.0357,27.8492,270.15,74.0,100.0,4.12,NO
406,maceio,-9.6658,-35.7353,300.15,83.0,75.0,4.08,BR
407,agapovka,53.2973,59.1348,260.15,61.0,40.0,3.0,RU
408,margate,51.3813,1.3862,282.59,86.0,99.0,2.24,GB
409,maku,39.2911,44.4521,283.27,44.0,33.0,1.52,IR
410,cockburn town,21.4612,-71.1419,298.15,69.0,40.0,4.12,TC
411,hihifo,,,,,,,
412,maghama,,,,,,,
413,satitoa,,,,,,,
414,lac du bonnet,50.2536,-96.0612,240.14,85.0,0.0,2.52,CA
415,hampton,37.0299,-76.3452,276.15,100.0,90.0,3.6,US
416,dauriya,49.9333,116.8667,246.32,86.0,83.0,3.4,RU
417,ladario,-19.0047,-57.6017,299.15,83.0,75.0,1.54,BR
418,atka,,,,,,,
419,jumla,29.2747,82.1838,279.9,58.0,72.0,1.85,NP
420,troitsko-pechorsk,62.7084,56.1964,250.72,90.0,100.0,1.4,RU
421,ordynskoye,54.3656,81.8994,266.9,97.0,100.0,3.28,RU
422,alcaniz,41.05,-0.1333,281.48,95.0,100.0,2.24,ES
423,pangnirtung,66.1451,-65.7125,246.15,76.0,20.0,1.8,CA
424,port macquarie,-31.4333,152.9167,292.04,99.0,88.0,0.45,AU
425,rio de jesus,7.9844,-81.1631,296.59,74.0,73.0,1.41,PA
426,matay,28.419,30.7792,295.89,21.0,0.0,4.54,EG
427,armacao dos buzios,,,,,,,
428,warragul,-38.1667,145.9333,290.93,75.0,100.0,5.81,AU
429,namibe,-15.1961,12.1522,304.15,55.0,20.0,5.66,AO
430,nueve de julio,-35.4444,-60.8831,295.93,75.0,5.0,3.13,AR
431,sao filipe,14.8961,-24.4956,296.52,63.0,85.0,3.0,CV
432,sisimiut,66.9395,-53.6735,257.37,85.0,84.0,7.17,GL
433,noumea,-22.2763,166.4572,300.37,100.0,49.0,1.03,NC
434,iracoubo,5.4802,-53.2011,298.95,75.0,100.0,7.48,GF
435,rungata,,,,,,,
436,edmundston,47.3737,-68.3251,261.15,84.0,74.0,0.51,CA
437,athabasca,54.7169,-113.2854,246.15,69.0,89.0,3.09,CA
438,storforshei,66.4043,14.5233,267.59,86.0,0.0,1.54,NO
439,kulhudhuffushi,6.6221,73.07,300.51,60.0,94.0,2.47,MV
440,ishigaki,24.3448,124.1572,291.15,68.0,20.0,3.6,JP
441,puerto madryn,-42.7692,-65.0385,288.09,56.0,13.0,3.62,AR
442,oistins,13.0667,-59.5333,299.15,61.0,40.0,9.26,BB
443,port moresby,-9.4431,147.1797,297.15,94.0,90.0,2.57,PG
444,troitskoye,52.9821,84.6757,266.89,95.0,100.0,2.48,RU
445,rio grande,-32.035,-52.0986,297.15,78.0,20.0,2.57,BR
446,mandalgovi,45.7625,106.2708,254.9,82.0,0.0,6.01,MN
447,kaa-khem,51.6833,94.7333,259.32,90.0,77.0,0.87,RU
448,coihaique,-45.5752,-72.0662,279.15,87.0,0.0,1.54,CL
449,togur,58.3631,82.8265,269.78,95.0,100.0,5.0,RU
450,bima,-8.4667,118.7167,298.27,85.0,87.0,1.15,ID
451,ranong,9.9658,98.6348,305.15,43.0,40.0,2.57,TH
452,mosquera,4.7059,-74.2302,283.15,93.0,40.0,2.06,CO
453,nador,35.174,-2.9287,290.15,72.0,20.0,3.6,MA
454,tezu,27.9167,96.1667,293.49,40.0,12.0,1.12,IN
455,jalu,29.0331,21.5482,292.0,48.0,15.0,2.23,LY
456,ust-nera,64.5667,143.2,242.99,75.0,0.0,0.42,RU
457,alofi,-19.0595,-169.9187,296.15,100.0,75.0,5.14,NU
458,gat,31.61,34.7642,291.48,56.0,0.0,0.45,IL
459,dakar,14.6937,-17.4441,298.15,47.0,93.0,3.09,SN
460,varkaus,62.3153,27.873,264.82,92.0,0.0,3.6,FI
461,gigmoto,13.7796,124.39,297.65,81.0,95.0,5.36,PH
462,morgan city,29.6994,-91.2068,274.82,100.0,90.0,7.2,US
463,laxou,48.6832,6.148,284.15,60.0,0.0,2.06,FR
464,diamantino,-14.4086,-56.4461,297.48,86.0,95.0,3.17,BR
465,cabedelo,-6.9811,-34.8339,299.15,100.0,90.0,0.51,BR
466,vrangel,42.7297,133.0839,264.67,91.0,100.0,11.9,RU
467,praya,14.9215,-23.5087,299.15,44.0,0.0,9.26,CV
468,itoman,26.1247,127.6694,291.15,59.0,40.0,8.23,JP
469,japura,-0.3167,102.35,299.51,78.0,51.0,1.07,ID
470,springfield,37.2153,-93.2982,254.26,71.0,90.0,7.72,US
471,hualmay,-11.0964,-77.6139,294.73,76.0,2.0,2.1,PE
472,hopatcong,40.9329,-74.6593,271.48,74.0,97.0,2.57,US
473,los llanos de aridane,28.6585,-17.9182,294.15,78.0,0.0,2.06,ES
474,havoysund,70.9963,24.6622,272.15,86.0,75.0,5.14,NO
475,arlit,18.7369,7.3853,305.36,10.0,16.0,1.77,NE
476,puerto baquerizo moreno,-0.9,-89.6,298.14,83.0,100.0,4.14,EC
477,sumbe,-11.2061,13.8437,303.15,56.0,0.0,3.09,AO
478,dicabisagan,17.0818,122.4157,295.65,79.0,82.0,3.04,PH
479,umzimvubu,,,,,,,
480,zherdevka,51.8486,41.4606,258.77,92.0,58.0,3.2,RU
481,hovd,48.0056,91.6419,265.31,82.0,56.0,0.68,MN
482,aguimes,27.9054,-15.4461,296.15,38.0,0.0,1.54,ES
483,sinnar,13.5691,33.5672,311.22,11.0,0.0,2.41,SD
484,can tho,10.0333,105.7833,298.15,83.0,20.0,3.6,VN
485,tautira,-17.7333,-149.15,299.15,78.0,40.0,3.6,PF
486,orzhytsya,49.7918,32.7012,264.73,95.0,65.0,1.53,UA
487,constantine,36.365,6.6147,280.15,61.0,75.0,1.03,DZ
488,samarai,-10.6167,150.6667,301.27,76.0,97.0,2.85,PG
489,kaitangata,-46.2817,169.8464,283.71,67.0,75.0,2.68,NZ
490,tutoia,-2.7619,-42.2744,302.15,79.0,40.0,3.6,BR
491,warrensburg,38.7628,-93.7361,252.15,77.0,40.0,6.69,US
492,plettenberg bay,-34.0527,23.3716,293.62,56.0,32.0,7.64,ZA
493,ronne,55.1009,14.7066,274.15,69.0,100.0,5.66,DK
494,omboue,-1.5746,9.2618,303.37,67.0,86.0,4.87,GA
495,moose factory,51.2585,-80.6094,242.15,76.0,1.0,2.57,CA
496,nacogdoches,31.6002,-94.6335,264.82,92.0,90.0,6.17,US
497,garowe,8.4054,48.4845,305.69,15.0,66.0,4.94,SO
498,rawannawi,,,,,,,
499,chicacao,14.5333,-91.3167,293.15,83.0,0.0,1.59,GT
500,inndyr,67.0338,14.0276,272.59,69.0,0.0,7.2,NO
501,ghanzi,-21.5667,21.7833,301.35,45.0,57.0,6.37,BW
502,ust-tsilma,65.441,52.1498,249.37,89.0,100.0,2.61,RU
503,westport,41.1415,-73.3579,274.15,60.0,90.0,4.12,US
504,byron bay,-28.65,153.6167,296.15,68.0,75.0,5.66,AU
505,honiara,-9.4333,159.95,299.55,81.0,88.0,1.07,SB
506,inhambane,-23.865,35.3833,301.15,83.0,75.0,4.12,MZ
507,juba,4.8517,31.5825,314.37,14.0,36.0,3.12,SS
508,chapais,49.7834,-74.8492,256.15,85.0,90.0,2.06,CA
509,shafranovo,53.9667,54.7667,254.62,92.0,78.0,4.3,RU
510,lyubeshiv,,,,,,,
511,gizo,-8.103,156.8419,301.49,76.0,98.0,2.71,SB
512,mwense,-10.3845,28.698,300.32,73.0,74.0,0.96,ZM
513,marsh harbour,26.5412,-77.0636,296.89,86.0,0.0,7.54,BS
514,vaitape,-16.5167,-151.75,300.6,76.0,91.0,4.92,PF
515,saint-joseph,-21.3667,55.6167,302.15,65.0,75.0,2.06,RE
516,hit,33.6416,42.8251,298.03,23.0,7.0,6.18,IQ
517,shache,38.4167,77.2406,281.67,46.0,13.0,3.6,CN
518,orotukan,62.2667,151.7,240.33,83.0,0.0,0.58,RU
519,luderitz,-26.6481,15.1594,297.86,43.0,0.0,13.82,
520,nabire,-3.3667,135.4833,299.28,83.0,100.0,0.86,ID
521,codrington,-38.2667,141.9667,288.89,84.0,60.0,2.39,AU
522,phuket,8.0,98.25,304.26,65.0,20.0,3.09,TH
523,ypsonas,34.6884,32.9574,292.15,59.0,20.0,7.2,CY
524,louisbourg,,,,,,,
525,rawson,-43.3002,-65.1023,288.0,54.0,66.0,2.85,AR
526,zalantun,48.0,122.7167,252.86,81.0,92.0,3.41,CN
527,ilulissat,69.2167,-51.1,260.15,56.0,75.0,5.66,GL
528,cayenne,4.9333,-52.3333,301.15,69.0,20.0,7.2,GF
529,attawapiskat,,,,,,,
530,saint anthony,45.0205,-93.21799999999999,246.15,69.0,1.0,1.54,US
531,san borja,-14.8167,-66.85,295.83,97.0,100.0,2.42,BO
532,itarema,-2.9248,-39.9167,301.47,73.0,52.0,4.8,BR
533,moundou,8.5667,16.0833,309.15,26.0,0.0,3.09,TD
534,malindi,-3.2175,40.1191,301.94,66.0,35.0,7.22,KE
535,nortelandia,-14.4547,-56.8028,296.91,89.0,100.0,2.07,BR
536,tessalit,20.1986,1.0114,306.29,9.0,40.0,5.15,ML
537,zhangye,38.9342,100.4517,274.42,71.0,97.0,1.47,CN
538,dunedin,-45.8742,170.5036,284.26,75.0,76.0,1.79,NZ
539,formosa,-26.1775,-58.1781,300.15,74.0,0.0,2.57,AR
540,lewisporte,49.2499,-55.0482,266.15,79.0,40.0,5.14,CA
541,nome,64.5011,-165.4064,265.15,49.0,40.0,5.14,US
542,havre-saint-pierre,50.2334,-63.5986,253.15,77.0,1.0,1.54,CA
543,jiaozuo,35.2397,113.2331,281.76,42.0,83.0,2.69,CN
544,chagda,,,,,,,
545,saeby,57.3319,10.5225,273.15,80.0,75.0,6.69,DK
546,nago,26.5881,127.9761,290.93,63.0,75.0,5.66,JP
547,san miguel,13.4833,-88.1833,293.25,81.0,0.0,0.91,SV
548,kimitsu,35.3253,139.8911,288.71,82.0,20.0,1.54,JP
549,sakakah,29.9697,40.2064,301.15,18.0,0.0,5.14,SA
550,san juan,-31.5375,-68.5364,292.97,67.0,58.0,6.31,AR
551,abashiri,44.0213,144.2697,274.26,100.0,75.0,1.54,JP
552,hays,30.0502,-98.0336,259.82,28.0,97.0,0.45,US
553,henties bay,-22.116,14.2845,293.85,72.0,14.0,5.61,
554,anadyr,64.75,177.4833,254.15,71.0,0.0,9.0,RU
555,evensk,61.95,159.2333,259.78,94.0,100.0,3.61,RU
556,mazatlan,23.2167,-106.4167,291.48,94.0,90.0,2.57,MX
557,pano aqil,27.8569,69.1116,302.15,39.0,0.0,2.14,PK
558,mount gambier,-37.8333,140.7667,287.15,88.0,53.0,2.06,AU
559,ayr,55.4627,-4.6339,282.15,93.0,75.0,6.69,GB
560,lorengau,-2.0226,147.2712,300.72,80.0,100.0,9.15,PG
561,dharchula,29.85,80.5333,287.85,42.0,73.0,2.1,IN
562,marienburg,54.0359,19.0266,274.82,68.0,13.0,2.85,PL
563,tunceli,39.1083,39.5471,290.15,42.0,40.0,5.14,TR
564,hami,42.8,93.45,275.31,71.0,0.0,2.27,CN
565,onalaska,43.8844,-91.2351,246.15,63.0,1.0,2.57,US
566,miles city,46.4083,-105.8406,252.15,59.0,20.0,4.12,US
567,farmington,36.7281,-108.2187,266.15,79.0,90.0,2.57,US
568,keti bandar,24.1447,67.4497,297.31,68.0,0.0,7.04,PK
569,mangai,-4.05,19.5333,306.47,46.0,100.0,0.73,CD
570,qasigiannguit,68.8193,-51.1922,260.15,56.0,75.0,5.66,GL
571,naze,28.3667,129.4833,287.7,77.0,3.0,8.55,JP
572,mogadishu,2.0371,45.3438,302.15,61.0,20.0,9.26,SO
573,tigil,57.8,158.6667,243.78,87.0,37.0,0.81,RU
574,port-gentil,-0.7193,8.7815,301.15,83.0,40.0,4.63,GA
575,toliary,,,,,,,
576,pirenopolis,-15.8525,-48.9592,294.15,88.0,75.0,1.54,BR
577,ormara,25.2088,64.6357,296.36,69.0,0.0,6.78,PK
578,manta,-0.95,-80.7333,298.15,78.0,90.0,2.06,EC
579,dingle,10.9995,122.6711,297.57,87.0,100.0,2.86,PH
580,pendleton,45.6721,-118.7886,267.59,93.0,90.0,1.54,US
581,mogilno,52.6581,17.9558,268.15,89.0,0.0,2.94,PL
582,nauta,-4.5061,-73.5757,297.02,89.0,100.0,0.81,PE
583,asau,46.4333,26.4,270.93,59.0,96.0,2.2,RO
584,punta alta,-38.8759,-62.0736,292.47,74.0,95.0,8.03,AR
585,olavarria,-36.8927,-60.3225,292.59,84.0,93.0,2.68,AR
586,port keats,-14.25,129.55,301.2,84.0,100.0,2.79,AU
587,spearfish,44.4908,-103.8594,250.93,70.0,1.0,2.06,US
588,pyu,18.4833,96.4333,299.18,23.0,0.0,1.94,MM
589,doha,25.2867,51.5333,299.82,36.0,0.0,4.63,QA
590,mentok,,,,,,,
591,payo,-3.7508,103.6372,297.63,93.0,91.0,0.84,ID
592,yuli,9.6989,10.2744,310.41,9.0,0.0,3.68,NG
593,amderma,,,,,,,
594,kungurtug,50.5994,97.5228,263.81,93.0,98.0,0.66,RU
595,tanete,-3.9443,119.7848,299.25,77.0,64.0,1.66,ID
596,guanica,17.9716,-66.908,298.15,64.0,1.0,0.45,PR
597,koslan,63.4564,48.8989,251.23,88.0,100.0,3.29,RU
598,ambon,-3.6954,128.1814,299.15,89.0,40.0,3.6,ID
599,xining,36.6167,101.7667,274.51,68.0,100.0,1.04,CN
600,hanna,51.6334,-111.9018,245.93,79.0,100.0,0.89,CA
601,bang saphan,11.2126,99.5117,301.15,74.0,0.0,2.06,TH
602,mwingi,-0.9344,38.0601,303.53,37.0,96.0,4.33,KE
603,sinnamary,5.3833,-52.95,298.98,76.0,99.0,7.39,GF
604,bagdarin,54.4333,113.6,246.19,81.0,7.0,2.19,RU
605,dali,25.7,100.1833,284.52,50.0,8.0,3.34,CN
606,teknaf,20.8624,92.3058,296.59,60.0,0.0,5.5,BD
607,cambrils,41.0748,1.0524,283.15,93.0,90.0,1.03,ES
608,finschhafen,-6.6024,147.8681,301.3,78.0,100.0,4.45,PG
609,lompoc,34.6391,-120.4579,284.15,87.0,1.0,3.09,US
610,high rock,26.6208,-78.2833,297.15,88.0,75.0,3.6,BS
611,mmabatho,-25.85,25.6333,303.15,48.0,40.0,5.14,ZA
612,bonthe,7.5264,-12.505,303.25,66.0,33.0,3.62,SL
613,mwinilunga,-11.7358,24.4293,301.6,44.0,75.0,2.67,ZM
614,quelimane,-17.8786,36.8883,308.15,63.0,40.0,2.57,MZ
615,praia da vitoria,38.7333,-27.0667,286.15,71.0,40.0,6.48,PT
616,lerwick,60.1545,-1.1494,281.15,87.0,20.0,4.63,GB
617,qaqortoq,60.7167,-46.0333,269.15,86.0,90.0,3.6,GL
618,vigrestad,58.5667,5.7,276.15,70.0,75.0,8.75,NO
